"","ME8","ME2","ME9","ME13","ME6","ME11","ME7","ME1","ME3","ME14","ME4","ME5","ME10","ME12","ME0"
"normal.rep20",-0.0667503545298535,-0.0427407488461607,-0.0201774137896688,-0.107589724368705,-0.0352134994813866,-0.0652576404076949,-0.00951931856905355,0.0691047329967568,-0.00307199561564513,0.109984767973578,0.0763482056772763,0.113434627957151,0.0409551079438443,0.0815828651729754,0.0709637496875687
"normal.rep21",-0.0784466751954835,-0.0556848052470764,-0.0217207209239641,0.0105064839347414,0.0415313167874337,0.0117628169025423,0.109880094940162,0.0775665136274114,0.0237090062950933,0.0250432693221483,0.0483504968573811,0.0932700337888645,0.00827998839521777,0.0676248973962713,0.0764017835534333
"normal.rep22",0.307943357958628,-0.0905006212296035,-0.0273862568963384,-0.0872735950676776,-0.0536335774468254,-0.0397798203883453,-0.0325056619516003,0.0398610619919729,0.0819126591864929,-0.0625744553778789,0.145757328902175,0.138386495715697,0.122043670513099,0.112713221731853,0.0888334794664293
"normal.rep23",-0.0705843340901653,-0.0869168747864461,-0.0137930775218524,-0.0420048826350856,-0.00114263799906691,-0.0233177002467834,0.0567672869871873,0.0532621888277833,0.0568994021130761,0.227066122106456,0.123334300699561,0.134611498045148,0.0902044491700849,0.0994939818263653,0.0759931274741306
"normal.rep24",-0.0659132105478276,-0.0612918597637415,-0.0270993541563201,0.00351930377388435,0.0341372418932541,0.00877325633317439,0.14981083061112,0.0693363303896289,0.044948526971742,-0.0109631102897508,0.0985263647660859,0.0970553902749208,0.0457526240162272,0.0417689422091064,0.0591384273103022
"normal.rep25",-0.0827814404695472,-0.0165522565653499,0.00880757189075861,-0.190101153899833,-0.165657970765121,-0.0668033289422931,-0.0573130051487644,-0.0632158709241597,0.0903781922971795,0.0798992158761469,0.135692369581498,0.152067628827635,0.222481625067176,0.0697338028822349,0.0154680610716913
"normal.rep26",-0.0738469443655687,-0.104775306838848,-0.0448790443334265,-0.0951351641164846,-0.0450776819321089,-0.0210674863600185,0.170828208246498,0.0500612342348349,0.0657553078617916,0.0400464491659062,0.0936422312311754,0.116588092653702,0.109936807029451,0.074679915241236,0.0689040184559098
"normal.rep27",-0.100673248764345,0.00168834752198771,-0.0185946443729189,-0.230889500881771,-0.259569721439822,-0.0988389146628882,-0.0726261817341352,-0.0772141363847148,0.0822888808213286,0.426970955650258,0.219731633064682,0.191775646366234,0.168359643046055,0.129091451258804,-0.0596624500420945
"normal.rep28",-0.0592691810955544,0.0377447867777805,0.00895896436899947,-0.181784433413674,-0.14829830202868,-0.110430142141892,-0.098067980778649,-0.0305008388124099,-0.0585306706830269,0.13438290451639,0.0475812021836008,0.0973768985592461,-0.0107625692151943,0.0555981831214119,-0.00253697553282559
"normal.rep29",0.242905473993434,-0.0161339662909099,-0.0321734651788774,-0.11137859613466,-0.102456676760881,-0.080867135725541,-0.0361775422033826,0.00806804755618644,0.0247566068279925,0.00456048355633512,0.146733064121361,0.148402994876692,0.0666328823081507,0.122005726124816,0.0519591321448166
"normal.rep30",-0.0628329761822736,-0.00153328355440622,-0.0571375781327908,-0.146132992153423,-0.100662438756425,-0.0566471104031415,0.0842730268703689,0.0495033528241645,-0.0612360774054704,0.211380368221688,0.136353917503967,0.137489551012604,-0.0497510290339203,0.0949315919097551,0.0398884713203221
